Stage,Concept_A,Concept_B,Normalized_Strength,Previous_Strength,Change,Status
Final_State,درد,پاک,0.022831,0.0,0.022831,Emerging
Opening,دل,راه,0.047965,0.0,0.047965,Emerging
Birds_Journey,دل,راه,0.053425,0.047965,0.00546,Strengthening
Seven_Valleys,دل,راه,0.037444,0.053425,-0.015981,Weakening
Simurgh_Encounter,دل,راه,0.022789,0.037444,-0.014655,Weakening
Final_State,دل,راه,0.091324,0.022789,0.068535,Strengthening
Opening,دل,سیمرغ,0.0,0.0,0.0,Stable
Birds_Journey,دل,سیمرغ,0.011208,0.0,0.011208,Emerging
Seven_Valleys,دل,سیمرغ,0.0,0.011208,-0.011208,Weakening
Simurgh_Encounter,دل,سیمرغ,0.0,0.0,0.0,Stable
Final_State,دل,سیمرغ,0.0,0.0,0.0,Stable
Opening,دل,طلب,0.007658,0.0,0.007658,Emerging
Birds_Journey,دل,طلب,0.002989,0.007658,-0.004669,Weakening
Seven_Valleys,دل,طلب,0.005165,0.002989,0.002176,Strengthening
Simurgh_Encounter,دل,طلب,0.0,0.005165,-0.005165,Weakening
Final_State,دل,طلب,0.0,0.0,0.0,Stable
Opening,دل,عشق,0.0,0.0,0.0,Stable
Birds_Journey,دل,عشق,0.042715,0.0,0.042715,Emerging
Seven_Valleys,دل,عشق,0.045513,0.042715,0.002798,Strengthening
Simurgh_Encounter,دل,عشق,0.0,0.045513,-0.045513,Weakening
Final_State,دل,عشق,0.0,0.0,0.0,Stable
Opening,دل,عقل,0.011689,0.0,0.011689,Emerging
Birds_Journey,دل,عقل,0.00274,0.011689,-0.008949,Weakening
Seven_Valleys,دل,عقل,0.013234,0.00274,0.010494,Strengthening
Simurgh_Encounter,دل,عقل,0.0,0.013234,-0.013234,Weakening
Final_State,دل,عقل,0.0,0.0,0.0,Stable
Opening,دل,فنا,0.0,0.0,0.0,Stable
Birds_Journey,دل,فنا,0.0,0.0,0.0,Stable
